Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
203.00	0.27064	1175.1	0.00085101	31.505	31.736	0.16310	0.93692	1.7426	1017.2	-0.22358	0	0	0.019429	7.4503	0.13422	348.11	384.44	1.9005	0.63769	0.88699	218.19	32.690	0	0
204.00	0.28391	1172.0	0.00085327	33.242	33.484	0.17163	0.93599	1.7446	1010.9	-0.22081	0	0	0.019200	7.7921	0.12833	348.51	384.94	1.8945	0.64069	0.89225	218.41	32.222	0	0
205.00	0.29767	1168.8	0.00085556	34.980	35.235	0.18014	0.93508	1.7467	1004.5	-0.21798	0	0	0.018971	8.1460	0.12276	348.90	385.45	1.8885	0.64371	0.89760	218.62	31.765	0	0
206.00	0.31194	1165.7	0.00085787	36.721	36.988	0.18861	0.93418	1.7488	998.13	-0.21508	0	0	0.018742	8.5120	0.11748	349.29	385.94	1.8826	0.64674	0.90302	218.83	31.315	0	0
207.00	0.32673	1162.5	0.00086020	38.463	38.744	0.19705	0.93331	1.7511	991.77	-0.21210	0	0	0.018514	8.8906	0.11248	349.68	386.43	1.8767	0.64979	0.90852	219.02	30.875	0	0
208.00	0.34204	1159.4	0.00086255	40.207	40.502	0.20546	0.93245	1.7534	985.41	-0.20905	0	0	0.018287	9.2820	0.10774	350.06	386.91	1.8709	0.65286	0.91411	219.21	30.444	0	0
209.00	0.35790	1156.2	0.00086492	41.952	42.262	0.21384	0.93161	1.7558	979.06	-0.20592	0	0	0.018060	9.6865	0.10324	350.44	387.39	1.8652	0.65594	0.91978	219.39	30.021	0	0
210.00	0.37431	1153.0	0.00086732	43.700	44.025	0.22218	0.93079	1.7583	972.70	-0.20272	0	0	0.017834	10.104	0.098966	350.82	387.86	1.8595	0.65903	0.92554	219.56	29.606	0	0
211.00	0.39128	1149.8	0.00086974	45.450	45.791	0.23050	0.92998	1.7609	966.35	-0.19943	0	0	0.017609	10.536	0.094911	351.19	388.33	1.8539	0.66213	0.93138	219.73	29.199	0	0
212.00	0.40884	1146.6	0.00087218	47.202	47.559	0.23879	0.92919	1.7636	960.00	-0.19607	0	0	0.017384	10.982	0.091059	351.56	388.79	1.8483	0.66525	0.93732	219.88	28.801	0	0
213.00	0.42698	1143.3	0.00087465	48.957	49.330	0.24705	0.92842	1.7663	953.64	-0.19261	0	0	0.017160	11.442	0.087396	351.92	389.24	1.8429	0.66838	0.94334	220.03	28.410	0	0
214.00	0.44573	1140.1	0.00087714	50.713	51.104	0.25528	0.92767	1.7692	947.29	-0.18908	0	0	0.016936	11.917	0.083913	352.28	389.68	1.8374	0.67152	0.94946	220.17	28.028	0	0
